LocationCode|City|StateProvince|Country|Description
GAO|Guantanamo|null|CU|Los Canos Airport
GAU|Gauhati|null|IN|Borjhar Airport
GBD|Great Bend|KS|US|Great Bend Airport
GBE|Gaborone|null|BW|Sir Seretse Khama International Airport
GCC|Gillette|WY|US|Campbell County Airport
GCI|Guernsey|null|GB|Guernsey Airport
GCK|Garden City|KS|US|Garden City Municipal Airport
GCM|Grand Cayman Island|null|KY|Owen Roberts International Airport
GCN|Grand Canyon|AZ|US|National Park Airport
GDL|Guadalajara|null|MX|Miguel Hidal Airport
GDN|Gdansk|null|PL|Rebiechowo Airport
GDT|Grand Turk Is|null|TC|Grand Turk Island Airport
GDV|Glendive|MT|US|Dawson Community Airport
GDX|Magadan|null|RU|Magadan Airport
GEA|Noumea|null|NC|Magenta Airport
GEG|Spokane|WA|US|Spokane International Airport
GEO|Georgetown|null|GY|Cheddi Jagan International Airport
GEV|Gallivare|null|SE|Gallivare Airport
GFK|Grand Forks|ND|US|Grand Forks Airport
GGG|Kilgore|TX|US|Gregg County Airport
GGG|Longview|TX|US|Gregg County Airport
GGG|Gladewater|TX|US|Gregg County Airport
GGT|George Town|null|BS|Exuma International Airport
GGW|Glasgow|MT|US|Glasgow International Airport
GHB|Governors Harbour|null|BS|Governor's Harbour Airport
GIB|Gibraltar|null|GI|North Front Airport
GIG|Rio De Janeiro|null|BR|Internacional Airport
GIS|Gisborne|null|NZ|Gisborne Airport
GJT|Grand Junction|CO|US|Walker Field
GKA|Goroka|null|PG|Goroka Airport
GLA|Glasgow|null|GB|Glasgow International Airport
GLH|Greenville|MS|US|Greenville Airport
GLT|Gladstone|QL|AU|Gladstone Airport
GLV|Golovin|AK|US|Golovin Airport
GMN|Greymouth|null|NZ|Greymouth Airport
GMP|Seoul|null|KR|Gimpo International Airport
GNB|Grenoble|null|FR|Saint Geoirs Airport
GND|Grenada|null|GD|Point Saline International Airport
GNV|Gainesville|FL|US|J R Alison Municipal Airport
GOA|Genoa|null|IT|Cristoforo Colombo Airport
GOH|Nuuk|null|GL|Nuuk Airport
GOI|Goa|null|IN|Dabolim Airport
GOJ|Nizhniy Novgorod|null|RU|Nizhniy Novgorod Airport
GON|New London|CT|US|Groton-New London Airport
GON|Groton|CT|US|Groton-New London Airport
GOT|Gothenburg|null|SE|Landvetter Airport
GPS|Galapagos Is|null|EC|Baltra Airport
GPT|Gulfport|MS|US|Biloxi Regional Airport
GPZ|Grand Rapids|MN|US|Grand Rapids Airport
GRB|Green Bay|WI|US|Austin-Straubel Field
GRI|Grand Island|NE|US|Grand Island Airport
GRJ|George|null|ZA|George Airport
GRO|Gerona|null|ES|Costa Brava Airport
GRQ|Groningen|null|NL|Eelde Airport
GRR|Grand Rapids|MI|US|Kent County International Airport
GRU|Sao Paulo|null|BR|Guarulhos International Airport
GRX|Granada|null|ES|Granada Airport
GRZ|Graz|null|AT|Thalerhof Airport
GSO|High Point|NC|US|Piedmont Triad International Airport
GSO|Greensboro/High Point|NC|US|Piedmont Triad International Airport
GSP|Greer|SC|US|Greenville-Spartanburg Airport
GSP|Greenville|SC|US|Greenville-Spartanburg Airport
GST|Gustavus|AK|US|Gustavus Airport
GTF|Great Falls|MT|US|Great Falls International Airport
GTR|Columbus|MS|US|Golden Triangle Regional Airport
GUA|Guatemala City|null|GT|La Aurora Airport
GUB|Guerrero Negro|null|MX|Guerrero Negro Airport
GUC|Gunnison|CO|US|Gunnison Airport
GUM|Guam|null|GU|A.B. Won Pat International Airport
GUP|Gallup|NM|US|Senator Clark Airport
GVA|Geneva|null|CH|Geneve-Cointrin Airport
GWD|Gwadar|null|PK|Gwadar Airport
GWT|Westerland|null|DE|Westerland Airport
GWY|Galway|null|IE|Carnmore Airport
GYE|Guayaquil|null|EC|Simon Bolivar Airport
GYM|Guaymas|null|MX|Gen Jose M Yanez Airport
GYN|Goiania|null|BR|Santa Genoveva Airport
GZT|Gaziantep|null|TR|Gaziantep Airport
HAD|Halmstad|null|SE|Halmstad Airport
HAH|Moroni|null|KM|Prince Said Ibrahim In Airport
HAJ|Hanover|null|DE|Hanover Airport
HAK|Haikou|null|CN|Haikou Airport
HAM|Hamburg|null|DE|Fuhlsbuettel Airport
HAN|Hanoi|null|VN|Noibai Airport
HAR|Harrisburg|PA|US|Harrisburg Skyport
HAU|Haugesund|null|NO|Haugesund Airport
HBA|Hobart|TS|AU|Hobart Airport
HDB|Heidelberg|null|DE|Heidelberg Airport
HDN|Hayden|CO|US|Yampa Valley Airport
HDS|Hoedspruit|null|ZA|Hoedspruit Airport
HDY|Hat Yai|null|TH|Hat Yai Airport
HEL|Helsinki|null|FI|Helsinki-Vantaa Airport
HER|Heraklion|null|GR|N. Kazantzakis Airport
HET|Hohhot|null|CN|Hohhot Airport
HFD|Hartford|CT|US|Brainard Airport
HFE|Hefei|null|CN|Hefei Airport
HFT|Hammerfest|null|NO|Hammerfest Airport
HGH|Hangzhou|null|CN|Hangzhou Airport
HGN|Mae Hong Son|null|TH|Mae Hong Son Airport
HGR|Hagerstown|MD|US|Wash. County Regional Airport
HHH|Hilton Head|SC|US|Hilton Head Airport
HIB|Hibbing|MN|US|Chisholm Airport
HIB|Chisholm|MN|US|Chisholm Airport
HII|Lake Havasu City|AZ|US|Lake Havasu City Municipal Airport
HIJ|Hiroshima|null|JP|Hiroshima International Airport
HIR|Honiara|null|SB|Henderson International Airport
HIS|Hayman Island|QL|AU|Hayman Island Airport
HJR|Khajuraho|null|IN|Khajuraho Airport
HKD|Hakodate|null|JP|Hakodate Airport
HKG|Hong Kong|null|HK|Hong Kong International Airport
HKK|Hokitika|null|NZ|Hokitika Airport
HKN|Hoskins|null|PG|Hoskins Airport
HKT|Phuket|null|TH|Phuket International Airport
HKY|Hickory|NC|US|Hickory Airport
HLN|Helena|MT|US|Helena Airport
HLZ|Hamilton|null|NZ|Hamilton Airport
HMO|Hermosillo|null|MX|Gen Pesqueira Garcia Airport
HNA|Morioka|null|JP|Hanamaki Airport
HND|Tokyo|null|JP|Haneda Airport
HNH|Hoonah|AK|US|Hoonah Airport
HNL|Honolulu|HI|US|Honolulu International Airport
HNM|Hana|HI|US|Hana Airport
HNS|Haines|AK|US|Haines Municipal Airport
HOB|Hobbs|NM|US|Lea County Airport
HOD|Hodeidah|null|YE|Hodeidah Airport
HOM|Homer|AK|US|Homer Airport
HON|Huron|SD|US|Howes Airport
HOQ|Hof|null|DE|Hof Airport
HOR|Horta|null|PT|Horta Airport
HOT|Hot Springs|AR|US|Memorial Field
HOU|Houston|TX|US|Hobby Airport
HPB|Hooper Bay|AK|US|Hooper Bay Airport
HPH|Haiphong|null|VN|Catbi Airport
HPN|Westchester County|NY|US|Westchester County Airport
HRB|Harbin|null|CN|Harbin Airport
HRE|Harare|null|ZW|Harare Airport
HRG|Hurghada|null|EG|Hurghada Airport
HRK|Kharkov|null|UA|Kharkov Airport
HRL|Harlingen|TX|US|Valley International Airport
HRO|Harrison|AR|US|Boone County Airport
HSV|Huntsville|AL|US|Huntsville International Airport
HTI|Hamilton Island|QL|AU|Hamilton Island Airport
HTS|Huntington|WV|US|Tri-State/Milton Airport
HTS|Ashland|KY|US|Tri-State/Milton Airport
HUI|Hue|null|VN|Phu Bai Airport
HUN|Hualien|null|TW|Hualien Airport
HUX|Huatulco|null|MX|Huatulco Airport
HUY|Humberside|null|GB|Humberside Airport
HVB|Hervey Bay|QL|AU|Hervey Bay Airport
HVG|Honningsvag|null|NO|Valan Airport
HVN|New Haven|CT|US|New Haven Airport
HVR|Havre|MT|US|Havre City County Airport
HWN|Hwange Nat Park|null|ZW|Hwange National Park Airport
HYA|Hyannis|MA|US|Barnstable Airport
HYD|Hyderabad|null|IN|Begumpet Airport
HYS|Hays|KS|US|Hays Municipal Airport
IAD|Washington|DC|US|Dulles International Airport
IAG|Niagara Falls|NY|US|Niagara Falls International Airport
IAH|Houston|TX|US|George Bush Intercontinental Airport
IAS|Iasi|null|RO|Iasi Airport
IBZ|Ibiza|null|ES|Ibiza Airport
ICN|Seoul|null|KR|Incheon International Airport
ICT|Wichita|KS|US|Mid-Continent Airport
IDA|Idaho Falls|ID|US|Fanning Field
IDR|Indore|null|IN|Indore Airport
IEG|Zielona Gora|null|PL|Babimost Airport
IEV|Kiev|null|UA|Kiev-Zhulhany Airport
IFP|Bullhead City|AZ|US|Laughlin Bullhead International Airport
IGA|Inagua|null|BS|Inagua Airport
IGM|Kingman|AZ|US|Kingman Airport
IGR|Iguazu|null|AR|Cataratas Airport
IGU|Iguassu Falls|null|BR|Cataratas Airport
IKT|Irkutsk|null|RU|Irkutsk Airport
ILE|Killeen|TX|US|Killeen Municipal Airport
ILG|Wilmington|DE|US|Greater Wilmington Airport
ILI|Iliamna|AK|US|Iliamna Airport
ILM|Wilmington|NC|US|New Hanover County Airport
ILO|Iloilo|null|PH|Mandurriao Airport
ILP|Ile Des Pins|null|NC|Ile Des Pins Airport
ILY|Islay|null|GB|Glenegedale Airport
IMF|Imphal|null|IN|Imphal Municipal Airport
IMP|Imperatriz|null|BR|Imperatriz Airport
IMT|Iron Mountain|MI|US|Ford Airport
IND|Indianapolis|IN|US|Indianapolis International Airport
INL|International Falls|MN|US|Falls International Airport
INN|Innsbruck|null|AT|Kranebitten Airport
INT|Winston Salem|NC|US|Smith-Reynolds Airport
INU|Nauru Island|null|NR|Nauru Island International Airport
INV|Inverness|null|GB|Inverness Airport
IOA|Ioannina|null|GR|Ioannina Airport
IOM|Isle Of Man|null|GB|Ronaldsway Airport
IOS|Ilheus|null|BR|Eduardo Gomes Airport
IPC|Easter Island|null|CL|Mataveri International Airport
IPH|Ipoh|null|MY|Ipoh Airport
IPL|Imperial|CA|US|Imperial County Airport
IPL|El Centro|CA|US|Imperial County Airport
IPT|Williamsport|PA|US|Lycoming County Airport
IQQ|Iquique|null|CL|Cavancha Airport
IQT|Iquitos|null|PE|C.F. Secada Airport
IRK|Kirksville|MO|US|Kirksville Municipal Airport
ISB|Islamabad|null|PK|Islamabad International Airport
ISN|Williston|ND|US|Sloulin Field International Airport
ISP|Islip|NY|US|Long Island MacArthur Airport
IST|Istanbul|null|TR|Ataturk Airport
ITB|Itaituba|null|BR|Itaituba Airport
ITH|Ithaca|NY|US|Tompkins County Airport
ITM|Osaka|null|JP|Itami Airport
ITO|Hilo|HI|US|Hilo International Airport
IUE|Niue Island|null|NU|Hanan Airport
IVC|Invercargill|null|NZ|Invercargill Airport
IVL|Ivalo|null|FI|Ivalo Airport
IWD|Ironwood|MI|US|Gogebic County Airport
IXC|Chandigarh|null|IN|Chandigarh Airport
IXE|Mangalore|null|IN|Bajpe Airport
IXJ|Jammu|null|IN|Satwari Airport
IXM|Madurai|null|IN|Madurai Airport
IXR|Ranchi|null|IN|Ranchi Airport
IXU|Aurangabad|null|IN|Chikkalthana Airport
IXZ|Port Blair|null|IN|Port Blair Airport
IYK|Inyokern|CA|US|Kern County Airport
IZM|Izmir|null|TR|Metropolitan Area
IZO|Izumo|null|JP|Izumo Airport
JAC|Jackson|WY|US|Jackson Hole Airport
JAI|Jaipur|null|IN|Sanganeer Airport
JAN|Jackson|MS|US|Jackson International Airport
JAV|Ilulissat|null|GL|Ilulissat Airport
JAX|Jacksonville|FL|US|Jacksonville International Airport
JBR|Jonesboro|AR|US|Jonesboro Airport
JDH|Jodhpur|null|IN|Jodhpur Airport
JED|Jeddah|null|SA|King Abdulaziz International Airport
JEF|Jefferson City|MO|US|Jefferson City Memorial Airport
JER|Jersey|null|GB|States Airport
JFK|New York|NY|US|John F. Kennedy International Airport
JGA|Jamnagar|null|IN|Govardhanpur Airport
JHB|Johor Bahru|null|MY|Sultan Ismail International Airport
JHM|Kapalua|HI|US|Kapalua Airport
JHW|Jamestown|NY|US|Jamestown Airport
JIB|Djibouti|null|DJ|Ambouli Airport
JIK|Ikaria Island|null|GR|Ikaria Airport
JKG|Jonkoping|null|SE|Axamo Airport
JKH|Chios|null|GR|Chios Airport
JKT|Jakarta|null|ID|Metropolitan Area
JLN|Joplin|MO|US|Joplin Airport
JMK|Mikonos|null|GR|Mikonos Airport
JMS|Jamestown|ND|US|Jamestown Airport
JNB|Johannesburg|null|ZA|Johannesburg International Airport
JNU|Juneau|AK|US|Juneau International Airport
JNX|Naxos|null|GR|Naxos Airport
JOE|Joensuu|null|FI|Joensuu Airport
JOG|Yogyakarta|null|ID|Adisutjipto Airport
JOI|Joinville|null|BR|Cubatao Airport
JON|Johnston Island|null|UM|Josephstaal Airport
JPA|Joao Pessoa|null|BR|Castro Pinto Airport
JRO|Kilimanjaro|null|TZ|Kilimanjaro Airport
JSH|Sitia|null|GR|Sitia Airport
JSI|Skiathos|null|GR|Skiathos Airport
JST|Johnstown|PA|US|Cambria County Airport
JSY|Syros Island|null|GR|Syros Island Airport
JTR|Thira|null|GR|Thira Airport
JUJ|Jujuy|null|AR|El Cadillal Airport
JUL|Juliaca|null|PE|Juliaca Airport
JYV|Jyvaskyla|null|FI|Jyvaskyla Airport
KAB|Kariba|null|ZW|Kariba Airport
KAJ|Kajaani|null|FI|Kajaani Airport
KAN|Kano|null|NG|Aminu Kano International Airport
KAO|Kuusamo|null|FI|Kuusamo Airport
KBP|Kiev|null|UA|Kiev-Borispol Airport
KBR|Kota Bharu|null|MY|Pengkalan Chepa Airport
KBV|Krabi|null|TH|Krabi Airport
KBZ|Kaikoura|null|NZ|Kaikoura Airport
KCG|Chignik|AK|US|Fisheries Airport
KCH|Kuching|null|MY|Kuching Airport
KCL|Chignik|AK|US|Lagoon Airport
KCZ|Kochi|null|JP|Kochi Airport
KEF|Reykjavik|null|IS|Keflavik International Airport
KEH|Kenmore Air Harbor|WA|US|Kenmore Air Harbor Airport
KEL|Kiel|null|DE|Holtenau Airport
KEM|Kemi/Tornio|null|FI|Kemi/Tornio Airport
KER|Kerman|null|IR|Kerman Airport
KGC|Kingscote|SA|AU|Kingscote Airport
KGD|Kaliningrad|null|RU|Kaliningrad Airport
KGI|Kalgoorlie|WA|AU|Kalgoorlie Airport
KGL|Kigali|null|RW|Gregoire Kayibanda Airport
KGS|Kos|null|GR|Kos Airport
KHH|Kaohsiung|null|TW|Kaohsiung International Airport
KHI|Karachi|null|PK|Quaid-E-Azam International Airport
KHN|Nanchang|null|CN|Nanchang Airport
KHV|Khabarovsk|null|RU|Novyy Airport
KID|Kristianstad|null|SE|Kristianstad Airport
KIJ|Niigata|null|JP|Niigata Airport
KIM|Kimberley|null|ZA|Kimberley Airport
KIN|Kingston|null|JM|Norman Manley Airport
KIR|Kerry County|null|IE|Kerry County Airport
KIT|Kithira|null|GR|Kithira Airport
KIV|Chisinau|null|MD|Chisinau Airport
KIX|Osaka|null|JP|Kansai International Airport
KJA|Krasnojarsk|null|RU|Krasnojarsk Airport
KKE|Kerikeri|null|NZ|Kerikeri Airport
KKJ|Kita Kyushu|null|JP|Kokura Airport
KKN|Kirkenes|null|NO|Hoeybuktmoen Airport
KLO|Kalibo|null|PH|Kalibo Airport
KLR|Kalmar|null|SE|Kalmar Airport
KLU|Klagenfurt|null|AT|Klagenfurt Airport
KLV|Karlovy Vary|null|CZ|Karlovy Vary Airport
KMG|Kunming|null|CN|Kunming Airport
KMI|Miyazaki|null|JP|Miyazaki Airport
KMJ|Kumamoto|null|JP|Kumamoto Airport
KNX|Kununurra|WA|AU|Kununurra Airport
KOA|Kona|HI|US|Keahole Airport
KOI|Kirkwall|null|GB|Kirkwall Airport
KOI|Orkney Island||GB|Kirkwall Airport
KOJ|Kagoshima|null|JP|Kagoshima Airport
KOK|Kokkola/Pietarsaari|null|FI|Kruunupyy Airport
KPO|Pohang|null|KR|Pohang Airport
KRF|Kramfors|null|SE|Kramfors Airport
KRK|Krakow|null|PL|J. Paul II Balice International Airport
KRN|Kiruna|null|SE|Kiruna Airport
KRP|Karup|null|DK|Karup Airport
KRR|Krasnodar|null|RU|Krasnodar Airport
KRS|Kristiansand|null|NO|Kjevik Airport
KRT|Khartoum|null|SD|Civil Airport
KSA|Kosrae|null|FM|Kosrae Airport
KSC|Kosice|null|SK|Barca Airport
KSD|Karlstad|null|SE|Karlstad Airport
KSH|Kermanshah|null|IR|Kermanshah Airport
KSJ|Kasos Island|null|GR|Kasos Island Airport
KSU|Kristiansund|null|NO|Kvernberget Airport
KTA|Karratha|WA|AU|Karratha Airport
KTM|Kathmandu|null|NP|Tribhuvan Airport
KTN|Ketchikan|AK|US|Ketchikan International Airport
KTP|Kingston|null|JM|Tinson Airport
KTT|Kittila|null|FI|Kittila Airport
KTW|Katowice|null|PL|Pyrzowice Airport
KUA|Kuantan|null|MY|Kuantan Airport
KUF|Samara|null|RU|Samara Airport
KUL|Kuala Lumpur|null|MY|Kuala Lumpur International Airport
KUN|Kaunas|null|LT|Kaunas Airport
KUO|Kuopio|null|FI|Kuopio Airport
KUS|Kulusuk|null|GL|Kulusuk Airport
KUV|Kunsan|null|KR|Gunsan Airport
KVA|Kavala|null|GR|Megas Alexandros Airport
KVB|Skovde|null|SE|Skovde Airport
KWA|Kwajalein|null|MH|Kwajalein Airport
KWI|Kuwait|null|KW|Kuwait International Airport
KWL|Guilin|null|CN|Guilin Airport
KZS|Kastelorizo|null|GR|Kastelorizo Airport
LAD|Luanda|null|AO|4 de Fevereiro Airport
LAE|Lae|null|PG|Nadzab Airport
LAF|Lafayette|IN|US|Purdue University Airport
LAI|Lannion|null|FR|Servel Airport
LAN|Lansing|MI|US|Capital City Airport
LAP|La Paz|null|MX|Leon Airport
LAR|Laramie|WY|US|General Brees Field
LAS|Las Vegas|NV|US|McCarran International Airport
LAW|Lawton|OK|US|Lawton Municipal Airport
LAX|Los Angeles|CA|US|Los Angeles International Airport
LBA|Leeds|null|GB|Leeds/Bradford Airport
LBB|Lubbock|TX|US|Lubbock International Airport
LBC|Luebeck|null|DE|Blankensee Airport
LBE|Latrobe|PA|US|Westmoreland County Airport
LBF|North Platte|NE|US|Lee Bird Field
LBL|Liberal|KS|US|Liberal Municipal Airport
LBU|Labuan|null|MY|Labuan Airport
LBV|Libreville|null|GA|Libreville Airport
LCA|Larnaca|null|CY|Larnaca Airport
LCE|La Ceiba|null|HN|Goloson International Airport
LCG|La Coruna|null|ES|La Coruna Airport
LCH|Lake Charles|LA|US|Lake Charles Municipal Airport
LCJ|Lodz|null|PL|Lodz Lublinek Airport
LCY|London|null|GB|London City Airport
LDB|Londrina|null|BR|Londrina Airport
LDE|Lourdes/Tarbes|null|FR|Tarbes Ossun Lourdes Airport
LDH|Lord Howe Island|NS|AU|Lord Howe Island Airport
LDU|Lahad Datu|null|MY|Lahad Datu Airport
LDY|Londonderry|null|GB|Eglinton Airport
LEB|Lebanon|NH|US|Lebanon Regional Airport
LEB|White River|VT|US|Lebanon Regional Airport
LEB|Hanover|NH|US|Lebanon Regional Airport
LED|St Petersburg|null|RU|Pulkovo Airport
LEH|Le Havre|null|FR|Octeville Airport
LEI|Almeria|null|ES|Almeria Airport
LEJ|Leipzig|null|DE|Leipzig Airport
LEN|Leon|null|ES|Leon Airport
LEX|Lexington|KY|US|Blue Grass Airport
LFT|Lafayette|LA|US|Lafayette Regional Airport
LFT|New Iberia|LA|US|Lafayette Regional Airport
LFW|Lome|null|TG|Lome Airport
LGA|New York|NY|US|La Guardia Airport
LGB|Long Beach|CA|US|Long Beach Municipal Airport
LGI|Long Island|null|BS|Deadmans Cay Airport
LGI|Deadmans Cay||BS|Deadmans Cay Airport
LGK|Langkawi|null|MY|Langkawi Airport
LGP|Legaspi|null|PH|Legaspi Airport
LGW|London|null|GB|Gatwick Airport
LHE|Lahore|null|PK|Lahore Airport
LHR|London|null|GB|Heathrow Airport
LIG|Limoges|null|FR|Bellegarde Airport
LIH|Kauai Island|HI|US|Kauai Island Airport
LIL|Lille|null|FR|Lesquin Airport
LIM|Lima|null|PE|J Chavez International Airport
LIN|Milan|null|IT|Linate Airport
LIR|Liberia|null|CR|Liberia Airport
LIS|Lisbon|null|PT|Lisboa Airport
LIT|Little Rock|AR|US|Little Rock Regional Airport
LJU|Ljubljana|null|SI|Brnik Airport
LKN|Leknes|null|NO|Leknes Airport
LKO|Lucknow|null|IN|Amausi Airport
LLA|Lulea|null|SE|Kallax Airport
LLW|Lilongwe|null|MW|Lilongwe International Airport
LLY|Mount Holly|NJ|US|Burlington County Airport
LME|Le Mans|null|FR|Arnage Airport
LMM|Los Mochis|null|MX|Federal Airport
LMN|Limbang|null|MY|Limbang Airport
LMP|Lampedusa|null|IT|Lampedusa Airport
LMT|Klamath Falls|OR|US|Kingsley Field
LNK|Lincoln|NE|US|Lincoln Municipal Airport
LNS|Lancaster|PA|US|Lancaster Airport
LNV|Lihir Island|null|PG|Lihir Island Airport
LNY|Lanai City|HI|US|Lanai Airport
LNZ|Linz|null|AT|Hoersching Airport
LON|London|null|GB|Metropolitan Area
LOV|Monclova|null|MX|Monclova Airport
LPA|Las Palmas|null|ES|Airport De Gran Canaria
LPB|La Paz|null|BO|El Alto Airport
LPI|Linkoping|null|SE|Linkoping Airport
LPL|Liverpool|null|GB|Liverpool International Airport
LPQ|Luang Prabang|null|LA|Luang Prabang Airport
LRD|Laredo|TX|US|Laredo International Airport
LRH|La Rochelle|null|FR|Laleu Airport
LRM|La Romana|null|DO|La Romana Airport
LRS|Leros|null|GR|Leros Airport
LRT|Lorient|null|FR|Lann Bihoue Airport
LRU|Las Cruces|NM|US|Las Cruces Municipal Airport
LSC|La Serena|null|CL|La Florida Airport
LSE|La Crosse|WI|US|La Crosse Municipal Airport
LST|Launceston|TS|AU|Launceston Airport
LTN|London|null|GB|Luton Airport
LTO|Loreto|null|MX|Loreto Airport
LTT|Saint Tropez|null|FR|La Mole Airport
LUA|Lukla|null|NP|Lukla Airport
LUD|Luderitz|null|NA|Luderitz Airport
LUG|Lugano|null|CH|Lugano Airport
LUH|Ludhiana|null|IN|Ludhiana Airport
LUN|Lusaka|null|ZM|Lusaka Airport
LUQ|San Luis|null|AR|San Luis Airport
LUX|Luxembourg|null|LU|Luxembourg Airport
LVI|Livingstone|null|ZM|Livingstone Airport
LWB|Lewisburg|WV|US|Greenbrier Valley Airport
LWO|Lvov|null|UA|Snilow Airport
LWS|Lewiston|ID|US|Nez Perce County Regional Airport
LWT|Lewistown|MT|US|Lewistown Municipal Airport
LWY|Lawas|null|MY|Lawas Airport
LXR|Luxor|null|EG|Luxor Airport
LXS|Lemnos|null|GR|Limnos Airport
LYH|Lynchburg|VA|US|Preston-Glenn Field
LYR|Longyearbyen|null|SJ|Svalbard Airport
LYS|Lyon|null|FR|Lyon Satolas Airport
LYU|Ely|MN|US|Ely Airport
LZC|Lazaro Cardenas|null|MX|Lazaro Cardenas Airport
MAA|Chennai|null|IN|Chennai Airport
MAD|Madrid|null|ES|Barajas Airport
MAF|Midland|TX|US|Odessa Regional Airport
MAG|Madang|null|PG|Madang Airport
MAH|Menorca|null|ES|Mahon Airport
MAJ|Majuro|null|MH|Amata Kabua International Airport
MAM|Matamoros|null|MX|Matamoros Airport
MAN|Manchester|null|GB|Manchester International Airport
MAO|Manaus|null|BR|Eduardo Gomes International Airport
MAR|Maracaibo|null|VE|La Chinita Airport
MAY|Mangrove Cay|null|BS|Mangrove Cay Airport
MAZ|Mayaguez|null|PR|Eugenio M. De Hostos Airport
MBA|Mombasa|null|KE|Moi International Airport
MBJ|Montego Bay|null|JM|Sangster International Airport
MBL|Manistee|MI|US|Blacker Airport
MBS|Midland|MI|US|Tri City Airport
MBS|Bay City|MI|US|Tri City Airport
MBS|Saginaw|MI|US|Tri City Airport
MBX|Maribor|null|SI|Maribor Airport
MCE|Merced|CA|US|Merced Municipal Airport
MCH|Machala|null|EC|Machala Airport
MCI|Kansas City|MO|US|Kansas City International Airport
MCK|Mccook|NE|US|Mc Cook Airport
MCN|Macon|GA|US|Lewis B. Wilson Airport
MCO|Orlando|FL|US|Orlando International Airport
MCP|Macapa|null|BR|Macapa Internacional Airport
MCT|Muscat|null|OM|Seeb Airport
MCW|Mason City|IA|US|Mason City Airport
MCY|Sunshine Coast|QL|AU|Maroochydore Airport
MCZ|Maceio|null|BR|Palmares Airport
MDC|Manado|null|ID|Samratulangi Airport
MDE|Medellin|null|CO|Jose Marie Cordova Airport
MDQ|Mar Del Plata|null|AR|Mar Del Plata Airport
MDT|Harrisburg|PA|US|Harrisburg International Airport
MDW|Chicago|IL|US|Midway Airport
MDZ|Mendoza|null|AR|El Plumerillo Airport
MED|Madinah|null|SA|Mohammad Bin Abdulaziz Airport
MEI|Meridian|MS|US|Key Field
MEL|Melbourne|VI|AU|Tullamarine Airport
MEM|Memphis|TN|US|Memphis International Airport
MES|Medan|null|ID|Polania Airport
MEX|Mexico City|null|MX|Juarez International Airport
MFE|Mcallen|TX|US|Miller International Airport
MFE|Mission|TX|US|Miller International Airport
MFM|Macau|null|MO|Macau Airport
MFN|Milford Sound|null|NZ|Milford Sound Airport
MFR|Medford|OR|US|Jackson County Airport
MGA|Managua|null|NI|Augusto C Sandino Airport
MGB|Mount Gambier|SA|AU|Mount Gambier Airport
MGJ|Montgomery|NY|US|Orange County Airport
MGL|Dusseldorf|null|DE|Moenchen-Gl. DUS Exp  Airport
MGM|Montgomery|AL|US|Dannelly Field
MGW|Morgantown|WV|US|Morgantown Airport
MGY|Dayton|OH|US|Montgomery County Airport
MHG|Mannheim|null|DE|Mannheim Airport
MHH|Marsh Harbour|null|BS|Marsh Harbour International Airport
MHK|Manhattan|KS|US|Manhattan Municipal Airport
MHQ|Mariehamn|null|FI|Mariehamn Airport
MHT|Manchester|NH|US|Manchester Municipal Airport
MIA|Miami|FL|US|Miami International Airport
MID|Merida|null|MX|Rejon Airport
MIL|Milan|null|IT|Metropolitan Area
MIM|Merimbula|NS|AU|Merimbula Airport
MIQ|Omaha|NE|US|Millard Airport
MIR|Monastir|null|TN|Habib Bourguiba International Airport
MJF|Mosjoen|null|NO|Kjaerstad Airport
MJN|Majunga|null|MG|Amborovy Airport
MJT|Mytilene|null|GR|Mytilene Airport
MJV|Murcia|null|ES|San Javier Airport
MKC|Kansas City|MO|US|Kansas City Downtown Municipal Airport
MKE|Milwaukee|WI|US|General Mitchell Airport
MKG|Muskegon|MI|US|Muskegon Airport
MKK|Hoolehua|HI|US|Molokai Airport
MKL|Jackson|TN|US|Mckellar Airport
MKM|Mukah|null|MY|Mukah Airport
MKY|Mackay|QL|AU|Mackay Airport
MLA|Malta|null|MT|Luqa Airport
MLB|Melbourne|FL|US|Melbourne International Airport
MLE|Male|null|MV|Male International Airport
MLH|Mulhouse/Basel|null|FR|EuroAirport French
MLH|Basel/Mulhouse||CH|EuroAirport French
MLI|Moline|IL|US|Quad-City Airport
MLM|Morelia|null|MX|Morelia Airport
MLN|Melilla|null|ES|Melilla Airport
MLO|Milos|null|GR|Milos Airport
MLS|Miles City|MT|US|Miles City Municipal Airport
MLU|Monroe|LA|US|Monroe Municipal Airport
MMA|Malmo|null|SE|Metropolitan Area
MMB|Memanbetsu|null|JP|Memanbetsu Airport
MME|Teesside|null|GB|Teesside International Airport
MMK|Murmansk|null|RU|Murmansk Airport
MMX|Malmo|null|SE|Sturup Airport
MNL|Manila|null|PH|Ninoy Aquino International Airport
MOB|Mobile|AL|US|Mobile Municipal Airport
MOD|Modesto|CA|US|Modesto Municipal Airport
MOL|Molde|null|NO|Aro Airport
MOT|Minot|ND|US|Minot International Airport
MOW|Moscow|null|RU|Metropolitan Area
MOZ|Moorea|null|PF|Temae Airport
MPA|Mpacha|null|NA|Mpacha Airport
MPL|Montpellier|null|FR|Frejorgues Airport
MPM|Maputo|null|MZ|Maputo International Airport
MQL|Mildura|VI|AU|Mildura Airport
MQT|Marquette|MI|US|Sawyer International Airport
MRS|Marseille|null|FR|Marseille Airport
